variable,type,data_set
file_path,object,observations
extension,object,observations
text,object,observations
candidate_name,object,observations
email,object,observations
phone,object,observations
gpa,object,observations
degree,object,observations
experience,object,observations
platforms,object,observations
database,object,observations
programming,object,observations
machinelearning,object,observations
universities,object,observations
languages,object,observations
version-control,object,observations
